OBJECTID,Longitude,Latitude,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,STATION_NUMBER,STATION_NAME,STREET_NAME,BETWEEN_WHICH_CROSS_STREET,GEO_LOCATION,ZONE,STATION_CATEGORY,STATION_TYPE,PUBLIC_PRIVATE,DOCK_ORIENTATION,STATION_LENGTH_AVAILABLE,STATION_WIDTH_AVAILABLE,NUMBER_OF_RACKS,SURFACE,TYPE_OF_SIGN,KIOSK_,MARTA,PARK,INSTALLED
1,-84.38720285,33.77251549,{45128275-EEFF-4A4E-95D0-17246AF5207B},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,302,Ponce De Leon & W. Peachtree,Ponce De Leon Ave,Ponce De Leon & W. Peachtree,33.772381  -84.387219,3,Off Roadway,Sidewalk,Public,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
2,-84.38860666,33.77666588,{0D194530-4793-4C68-A171-3AF645C7D5BD},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,309,Tech Square,Spring street,10th and spring,"33.776631  -84.388737
",3,Off Roadway,Sidewalk,Public,Mono-directional Straight,40,6,14,Concrete,Small Sign,yes,yes,yes,yes
3,-84.3911091,33.75591393,{8F5CE03E-810C-4FA4-9353-D5AF90EF5252},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,705,Marietta & Forsyth,Marietta St,Marietta & Forsyth,33.755780  -84.391234,7,Other,Sidewalk,Public,Mono-directional Straight,40,6,,Concrete,Large Sign,yes,yes,yes,yes
4,-84.3865925,33.78930015,{3CB6B4E4-E745-46FF-95C6-EEBF800084A6},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,103,Arts Center MARTA,,,-84.386673 33.789259,1,Private Property,Plaza,Private,Mono-directional Straight,49',6,20,Concrete,Small Sign,yes,yes,yes,yes
5,-84.37780344,33.78667564,{2E133A1C-4238-4454-9775-7D1344F1E0BB},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,203,Piedmont Park (West),14th St,Piedmont Ave,33.786549  -84.377897,2,Park,Other,Public,Mono-directional Straight,30'+,6,,Asphalt,Small Sign,yes,yes,yes,yes
6,-84.37127268,33.78630943,{46C8594F-7E2E-428D-93BF-262054FD873D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,204,"E. Piedmont Park
",Park Dr NE,Park Dr NE,33.786273  -84.371257,2,Park,Other,Public,Mono-directional Straight,34,6,12,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
7,-84.38750803,33.7662899,{B75F47E0-873F-419A-9D1D-FDE0611F8A04},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,301,Civic Center MARTA,W. Peachtree St,,-84.387574 33.766234,3,Private Property,Plaza,Private,Mono-directional Straight,40,6,16,Concrete,Small Sign,yes,yes,yes,yes
8,-84.40429269,33.782098,{56EA9644-B037-4152-9C4D-76969968C1A1},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,302,Home Park,Hemphill Ave,Hemphill & McMilan St,-84.404311 33.782126,1,Private Property,Plaza,Public,Mono-directional Straight,22,6,,Asphalt,Small Sign,yes,yes,yes,yes
9,-84.39190256,33.77147789,{4E8D1C28-BE0F-40A0-8D60-4E922F4C8277},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,304,Bobby Dodd Stadium,Techwood Dr,Techwood Dr & North Ave,-84.39193   33.77146,3,Private Property,Plaza,Public,Mono-directional Straight,26,6,10,Asphalt,Small Sign,yes,yes,yes,yes
10,-84.40246359,33.77574894,{885175B8-4208-4CAD-954E-3A4E1DCA6A1B},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,306,Ga Tech CRC,,,-84.404826 33.775866,3,Private Property,Plaza,Public,Mono-directional Straight,23,6,,Asphalt,Small Sign,yes,yes,yes,yes
