ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
622,California Ave & Cortez St,California Ave & Cortez St,15,15,In Service,41.900363,-87.696704,"(41.900363, -87.696704)"
14,Morgan St & 18th St,962 W. 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)"
398,Rainbow Beach,Rainbow Beach,15,15,In Service,41.757871448,-87.54938625,"(41.75787144829, -87.54938625)"
6,Dusable Harbor,Dusable Harbor,39,39,In Service,41.885041,-87.612794,"(41.885041, -87.612794)"
626,Delano Ct & Roosevelt Rd,Delano Ct & Roosevelt Rd,19,19,In Service,41.867491,-87.63219,"(41.867491, -87.63219)"
625,Chicago Ave & Dempster St,Chicago Ave & Dempster St,15,15,In Service,42.041691,-87.680687,"(42.041691, -87.680687)"
624,Dearborn St & Van Buren St (*),417 S Dearborn St,16,16,In Service,41.876268,-87.629155,"(41.876268, -87.629155)"
623,Michigan Ave & 8th St,Michigan Ave & 8th St,31,31,In Service,41.872773,-87.623981,"(41.872773, -87.623981)"
59,Wabash Ave & Roosevelt Rd,1210 S Wabash Ave,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)"
73,Jefferson St & Monroe St,207 S Jefferson St,19,19,In Service,41.880422,-87.642746,"(41.880422, -87.642746)"
106,State St & Pearson St,State St & Pearson St,27,27,In Service,41.897448,-87.628722,"(41.897448, -87.628722)"
532,Austin Blvd & Lake St,Austin Blvd & Lake St,15,15,In Service,41.887919,-87.774446,"(41.887919, -87.774446)"
392,Perry Ave & 69th St,Perry Ave & 69th St,11,11,In Service,41.76929309,-87.628195929,"(41.76929308995, -87.6281959291)"
193,State St & 29th St,State St & 29th St,15,15,In Service,41.841707,-87.626938,"(41.841707, -87.626938)"
366,Loomis St & Archer Ave,Loomis St & Archer Ave,15,15,In Service,41.84163254,-87.657434953,"(41.84163253965, -87.6574349533)"
514,Ridge Blvd & Howard St,Ridge Blvd & Howard St,15,15,In Service,42.019276,-87.68452,"(42.019276, -87.68452)"
11,Jeffery Blvd & 71st St,Jeffery Blvd & 71st St,11,11,In Service,41.766638237,-87.576450114,"(41.76663823695, -87.5764501141)"
435,Kedzie Ave & Roosevelt Rd,Kedzie Ave & Roosevelt Rd,15,15,In Service,41.866492782,-87.706496176,"(41.86649278172, -87.7064961757)"
32,Racine Ave & Congress Pkwy,550 S. Racine,19,19,In Service,41.87464,-87.65703,"(41.87464, -87.65703)"
308,Seeley Ave & Roscoe St,Seeley Ave & Roscoe St,11,11,In Service,41.943403,-87.679618,"(41.943403, -87.679618)"
319,Greenview Ave & Diversey Pkwy,Greenview Ave & Diversey Pkwy,15,15,In Service,41.932595,-87.665939,"(41.932595, -87.665939)"
99,Lake Shore Dr & Ohio St,Lake Shore Dr & Ohio St,19,19,In Service,41.89257,-87.614492,"(41.89257, -87.614492)"
214,Damen Ave & Grand Ave,Damen Ave & Grand Ave,23,23,In Service,41.89122,-87.67686,"(41.89122, -87.67686)"
