Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,Latitude,Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
376,01-10-15 0:16,01-10-15 0:22,3212,Christ Hospital,40.73478582,-74.05044364,3207,Oakland Ave,40.7376037,-74.0524783,24470,Subscriber,1960,1,6
739,01-10-15 0:27,01-10-15 0:39,3207,Oakland Ave,40.7376037,-74.0524783,3212,Christ Hospital,40.73478582,-74.05044364,24481,Subscriber,1960,1,12
2714,01-10-15 0:32,01-10-15 1:18,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,24628,Subscriber,1983,1,45
275,01-10-15 0:34,01-10-15 0:39,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,24613,Subscriber,1975,1,5
561,01-10-15 0:40,01-10-15 0:49,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24668,Customer,1984,0,9
365,01-10-15 0:41,01-10-15 0:47,3198,Heights Elevator,40.74871595,-74.0404433,3215,Central Ave,40.7467299,-74.0492509,24644,Customer,1984,0,6
139,01-10-15 0:43,01-10-15 0:46,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.73074263,-74.06378388,24482,Subscriber,1988,1,2
1299,01-10-15 1:10,01-10-15 1:31,3197,North St,40.752559,-74.044725,3215,Central Ave,40.7467299,-74.0492509,24550,Customer,1984,0,22
647,01-10-15 2:01,01-10-15 2:12,3213,Van Vorst Park,40.71848892,-74.04772663,3190,Garfield Ave Station,40.71046702,-74.0700388,24650,Subscriber,1988,1,11
233,01-10-15 4:43,01-10-15 4:47,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24584,Subscriber,1978,2,4
352,01-10-15 4:43,01-10-15 4:49,3215,Central Ave,40.7467299,-74.0492509,3197,North St,40.752559,-74.044725,24550,Customer,1984,0,6
1013,01-10-15 5:31,01-10-15 5:48,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,24471,Subscriber,1980,1,17
592,01-10-15 5:41,01-10-15 5:51,3196,Riverview Park,40.7443187,-74.0439909,3202,Newport PATH,40.7272235,-74.0337589,24406,Subscriber,1983,2,10
308,01-10-15 5:44,01-10-15 5:49,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24723,Subscriber,1980,1,5
667,01-10-15 5:52,01-10-15 6:03,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24516,Subscriber,1984,2,11
312,01-10-15 6:25,01-10-15 6:31,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,19086,Subscriber,1984,1,5
588,01-10-15 6:26,01-10-15 6:36,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24561,Subscriber,1972,1,10
615,01-10-15 6:26,01-10-15 6:37,3209,Brunswick St,40.7241765,-74.0506564,3183,Exchange Place,40.7162469,-74.0334588,24515,Subscriber,1970,1,10
1009,01-10-15 6:28,01-10-15 6:44,3196,Riverview Park,40.7443187,-74.0439909,3183,Exchange Place,40.7162469,-74.0334588,24639,Subscriber,1976,1,17
1113,01-10-15 6:29,01-10-15 6:48,3217,Bayside Park,40.69865054,-74.08207968,3183,Exchange Place,40.7162469,-74.0334588,24718,Subscriber,1977,1,19
492,01-10-15 6:33,01-10-15 6:41,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24422,Subscriber,1983,2,8
331,01-10-15 6:49,01-10-15 6:54,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24452,Subscriber,1977,1,6
18715,01-10-15 6:58,01-10-15 12:10,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,24516,Subscriber,1980,1,312
213,01-10-15 6:59,01-10-15 7:03,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,19086,Subscriber,1970,2,4
775,01-10-15 7:00,01-10-15 7:13,3210,Pershing Field,40.74267714,-74.05178863,3203,Hamilton Park,40.72759597,-74.04424731,24401,Subscriber,1964,2,13
304,01-10-15 7:00,01-10-15 7:05,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24496,Subscriber,1989,1,5
182,01-10-15 7:03,01-10-15 7:06,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24391,Subscriber,1984,2,3
744,01-10-15 7:04,01-10-15 7:16,3199,Newport Pkwy,40.7287448,-74.0321082,3211,Newark Ave,40.72152515,-74.04630454,24567,Subscriber,1991,2,12
228,01-10-15 7:05,01-10-15 7:09,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24594,Subscriber,1964,1,4
121,01-10-15 7:08,01-10-15 7:10,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24558,Subscriber,1984,1,2
293,01-10-15 7:10,01-10-15 7:15,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24676,Subscriber,1986,1,5
191,01-10-15 7:11,01-10-15 7:14,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24483,Subscriber,1972,2,3
770,01-10-15 7:13,01-10-15 7:25,3197,North St,40.752559,-74.044725,3202,Newport PATH,40.7272235,-74.0337589,24478,Subscriber,1981,1,13
268,01-10-15 7:14,01-10-15 7:19,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24401,Subscriber,1979,1,4
792,01-10-15 7:16,01-10-15 7:30,3213,Van Vorst Park,40.71848892,-74.04772663,3199,Newport Pkwy,40.7287448,-74.0321082,24437,Subscriber,1989,2,13
487,01-10-15 7:18,01-10-15 7:26,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24615,Subscriber,1959,2,8
300,01-10-15 7:22,01-10-15 7:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24709,Subscriber,1970,2,5
306,01-10-15 7:22,01-10-15 7:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24396,Subscriber,1966,1,5
386,01-10-15 7:22,01-10-15 7:28,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24666,Subscriber,1970,1,6
287,01-10-15 7:26,01-10-15 7:30,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24723,Subscriber,1981,2,5
309,01-10-15 7:26,01-10-15 7:31,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,24645,Subscriber,1985,2,5
230,01-10-15 7:26,01-10-15 7:30,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24582,Subscriber,1988,2,4
187,01-10-15 7:26,01-10-15 7:30,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24705,Subscriber,1975,2,3
304,01-10-15 7:27,01-10-15 7:32,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24429,Subscriber,1981,2,5
93,01-10-15 7:28,01-10-15 7:29,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,24540,Subscriber,1982,1,2
387,01-10-15 7:28,01-10-15 7:35,3213,Van Vorst Park,40.71848892,-74.04772663,3184,Paulus Hook,40.7141454,-74.0335519,24450,Subscriber,1981,1,6
167,01-10-15 7:30,01-10-15 7:32,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24699,Subscriber,1983,1,3
244,01-10-15 7:31,01-10-15 7:35,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24469,Subscriber,1969,1,4
88,01-10-15 7:33,01-10-15 7:34,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,24567,Subscriber,1983,2,1
